                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.04596,                0.99977,                      1,                 4.1883,               0.005248,               0.005248,               0.005248
                     98,                0.04339,                0.99977,                      1,                 4.1883,              0.0051985,              0.0051985,              0.0051985
                     99,                0.05136,                0.99977,                      1,                 4.1883,               0.005149,               0.005149,               0.005149
                    100,                0.05096,                0.99977,                      1,                 4.1883,              0.0050995,              0.0050995,              0.0050995
                    101,                0.05065,                0.99977,                      1,                 4.1883,                0.00505,                0.00505,                0.00505
                    102,                0.04561,                0.99977,                      1,                 4.1882,              0.0050005,              0.0050005,              0.0050005
                    103,                0.03951,                0.99977,                      1,                 4.1883,               0.004951,               0.004951,               0.004951
                    104,                0.04894,                0.99977,                      1,                 4.1883,              0.0049015,              0.0049015,              0.0049015
                    105,                0.05027,                0.99977,                      1,                 4.1882,               0.004852,               0.004852,               0.004852
                    106,                0.04744,                0.99977,                      1,                 4.1882,              0.0048025,              0.0048025,              0.0048025
                    107,                0.03617,                0.99977,                      1,                 4.1882,               0.004753,               0.004753,               0.004753
                    108,                0.04279,                0.99977,                      1,                 4.1882,              0.0047035,              0.0047035,              0.0047035
                    109,                0.05604,                0.99977,                      1,                 4.1883,               0.004654,               0.004654,               0.004654
                    110,                0.04148,                0.99977,                      1,                 4.1882,              0.0046045,              0.0046045,              0.0046045
                    111,                0.04418,                0.99977,                      1,                 4.1882,               0.004555,               0.004555,               0.004555
                    112,                0.03743,                0.99977,                      1,                 4.1882,              0.0045055,              0.0045055,              0.0045055
                    113,                0.04754,                0.99977,                      1,                 4.1882,               0.004456,               0.004456,               0.004456
                    114,                0.04017,                0.99977,                      1,                 4.1882,              0.0044065,              0.0044065,              0.0044065
                    115,                0.03777,                0.99977,                      1,                 4.1883,               0.004357,               0.004357,               0.004357
                    116,                 0.0457,                0.99977,                      1,                 4.1883,              0.0043075,              0.0043075,              0.0043075
                    117,                0.03806,                0.99977,                      1,                 4.1883,               0.004258,               0.004258,               0.004258
                    118,                0.03259,                0.99977,                      1,                 4.1883,              0.0042085,              0.0042085,              0.0042085
                    119,                0.03552,                0.99977,                      1,                 4.1883,               0.004159,               0.004159,               0.004159
                    120,                0.03641,                0.99977,                      1,                 4.1883,              0.0041095,              0.0041095,              0.0041095
                    121,                0.02856,                0.99954,                      1,                 4.1883,                0.00406,                0.00406,                0.00406
                    122,                0.04215,                0.99954,                      1,                 4.1883,              0.0040105,              0.0040105,              0.0040105
                    123,                0.03649,                0.99954,                      1,                 4.1883,               0.003961,               0.003961,               0.003961
                    124,                0.03388,                0.99954,                      1,                 4.1883,              0.0039115,              0.0039115,              0.0039115
                    125,                0.03116,                0.99954,                      1,                 4.1883,               0.003862,               0.003862,               0.003862
                    126,                0.03589,                0.99954,                      1,                 4.1883,              0.0038125,              0.0038125,              0.0038125
                    127,                0.03261,                0.99954,                      1,                 4.1883,               0.003763,               0.003763,               0.003763
                    128,                0.02801,                0.99954,                      1,                 4.1883,              0.0037135,              0.0037135,              0.0037135
                    129,                0.03195,                0.99954,                      1,                 4.1883,               0.003664,               0.003664,               0.003664
                    130,                0.03204,                0.99954,                      1,                 4.1883,              0.0036145,              0.0036145,              0.0036145
                    131,                0.02363,                0.99954,                      1,                 4.1883,               0.003565,               0.003565,               0.003565
                    132,                0.02906,                0.99954,                      1,                 4.1883,              0.0035155,              0.0035155,              0.0035155
                    133,                0.02968,                0.99954,                      1,                 4.1883,               0.003466,               0.003466,               0.003466
                    134,                0.03337,                0.99954,                      1,                 4.1883,              0.0034165,              0.0034165,              0.0034165
                    135,                0.02778,                0.99954,                      1,                 4.1883,               0.003367,               0.003367,               0.003367
                    136,                0.02499,                0.99954,                      1,                 4.1883,              0.0033175,              0.0033175,              0.0033175
                    137,                0.02803,                0.99954,                      1,                 4.1883,               0.003268,               0.003268,               0.003268
                    138,                0.02342,                0.99954,                      1,                 4.1883,              0.0032185,              0.0032185,              0.0032185
                    139,                0.02621,                0.99954,                      1,                 4.1883,               0.003169,               0.003169,               0.003169
